Unnamed: 0,Product,Review_Summary,Rating
32215,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Better not to purchase this product.. not good for Bengali cuisine... Dishes not cleaned up properly...bad experience,1
32216,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Super,5
32217,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Does the job.,4
32218,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Best dishwasher in this Price range, works well",5
32219,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product is good and installation though delayed but was good and and technician at the time of installation explained everything in detail.,4
32220,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Very bad product. Service is very bad,1
32221,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Nice product and excellent working.And go for it....,5
32222,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",It??s take too much time.,2
32223,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Don't deserve any rating.. useless equipment,1
32224,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Worst product it's not at all cleaning vessels properly,1
32225,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Worst demo. The person who came was not aware of product. He was not informing anything. Said read the product book and understand.  Will review the product later as it is a recent purchase. It worked only for 10 days and since then there is a regular e 4 error. Seems to be a defective product. Two engineers serveyed and the problem is not solved yet.,1
32226,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Very bad quality Not working properly,1
32227,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Nice,5
32228,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",90 minutes program completed In 70 minutesCleaning quality is not good. White patches observed even quality detergents used.,2
32229,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Excellent.  I don't know why other  companies demanding so high price for same thing.,5
32230,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product Received. No installation. Avoid Purchasing Midea dishwasher.,1
32231,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product is average not as per expetance,1
32232,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Problems in cleaning with even light tea stains and milk stains.. for small utensils its fine..,3
32233,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Govind kumar ss enterprise .the service was very good.polite and informative .,5
32234,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",I took this in September and installation done October 2 months it worked but now machine works but one single utensil also not cleaned weste of money pl don't buy this,1
32235,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Nice product from Midea .... Satisfied with this product.????.,5
32236,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product is fair as per its cost. Do not rely on technician for operation and cautions of the of the unit as they have very limited knowledge about the product and its operations. Follow the user manual for operation and cautions of the unit.,3
32237,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Being a new brand I was sceptical, but it far exceeded my expectations on cleaning performance. Great service too, the installation was done on same day as delivery.",5
32238,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",I received parcel 25 days agoDidn't insulationNo installationDon't buy this product,1
32239,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Bad wash quality,2
32240,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Nice..does the job well..let's wait to review after 2bd week usage,4
32241,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Good dishwasher, very satisfied, just go for it.",5
32242,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Value less product.it damage uttencile,1
32243,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Good,5
32244,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Machine works great but no power backup. Not even for 5 minutes. The program starts from the beginning and uou have to add the detergent again. That's the only challenging part,4
32245,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Very good product, working very well...",5
32246,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Great Product so far...,5
32247,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Good.,5
32248,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Its working good,satisfied with Midea dishwasher",4
32249,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",It's working very good my wife is very happy,5
32250,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Satisfied,5
32251,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Very happy to see the result.  Value for money,5
32252,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Happy,5
32253,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Must buy it is a good product.,5
32254,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product was good but in programming need to change as during running if power off it will start from beginning if it was changed it was the good product at this price apart from this everything is ok,4
32255,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Very Nice.,5
32256,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",It works as advertised i wish they provided a stand with wheels for this product,4
32257,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",It??s good,4
32258,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",It's good product,5
32259,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Excellent product,5
32260,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Wonderful dish washer price is available for midel class families.,5
32261,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Milk vessels are not cleaned properly others are all fine,4
32262,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Good value for money,5
32263,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Installation and demo boy is very good person and talking with me very politely and respecfully...,5
32264,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Knives and plates are not properly cleaned. They still have stains and food stuck on them,3
32265,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",We are very happy with the purchase. It is very efficient and does the job perfectly.,5
32266,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Good,5
32267,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Gone is the tension of having to wash the dishes to make the job much better,5
32268,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Good,5
32269,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product is good. Not giving 5 star as because installation team don't have basic knowledge of equipment and doesn't bring basic tools required for installation.,4
32270,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product and installation service both are very good. It works efficiently using Finnish tablets ?????¯ without a doubt people can go for it,5
32271,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","I had no issues with the dishwasher, it does my job well. Will surely recommend this compared to other expensive machines in the market..",5
32272,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Excellent, it's dependable more than maida and kidsBuy for Atmanirbhar House Utensil Cleaning",5
32273,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",I have received damaged products and still waiting for replacement,1
32274,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Received a defective piece.. had to return back,1
32275,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Excellent performanceValue for money,5
